"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","X","X.1","X.2","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"4685",NA,"fragment","","fragment","SUB-2-4_G-01-250-500um_S1_B_7","Basin II","SUB-2-4","SUB-2-4-S1",7,"black","","Non-Fiber",0.858,0.42,0,0.858,815.1,858,900.9,399,420,441,8.58,214.29,420,"","",1.03e-09,1.08e-09,1.33e-09,2790429.64,77221544.4,166864698,0.00287,0.0834,0.222,NA,NA,NA,0.000858,0.00042,0.00021429,0.356971558819738,0.000425839713552697,1026,1080,0.0526315789473684,2.97587411326543,4.6,0.00681452844916215,2.35926572584383,6.3128967474837,0.00681452844916215
"4686",NA,"fragment","","fragment","UNB-3-00-05-250um_A_30","Upper Newport Bay","UNB-3","UNB-3-00-05",30,"clear","","Non-Fiber",0.606,0.415,0,0.606,575.7,606,636.3,394.25,415,435.75,6.06,306.03,435.75,"","",1.07599e-09,1.10533e-09,1.25876e-09,1375436.53,76963484.7,120819411,0.00147995,0.085069724,0.152082888,NA,NA,NA,0.000606,0.000415,0.00030603,0.610244173923217,0.000425364825747109,1026,1105.33,0.0773196881091617,3.37917902178971,4.6,0.0118303167289138,4.09122001132319,3.07373673768892,0.0118303167289138
"4687",NA,"fiber","","fiber","SUB-4-9-250um_S2_B_67","Lower Harbor","SUB-4-9","SUB-4-9-S2",67,"blue","","Fiber",0.533,0.386,1.461,1.461,1387.95,1461,1534.05,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,258000,320000,478000,0.000323,0.000403,0.000611,NA,NA,NA,0.001461,1.67e-05,1.67e-05,0.106913642891244,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114454688222609,0.0155397828725005,38.0299310847088,0.00114454688222609
"4688","tire wear","rubbery fragment","tire wear","TRWP","SUB-2-3_G-01-250-500um_S1_G_9","Basin II","SUB-2-3","SUB-2-3-S1",9,"black","","Non-Fiber",0.627,0.387,0,0.627,595.65,627,658.35,367.65,387,406.35,6.27,316.635,406.35,"","",1.2e-09,1.45e-09,1.7e-09,1373071.83,76831166.1,108706964,0.00165,0.111,0.185,NA,NA,NA,0.000627,0.000387,0.000316635,0.64279082037603,0.000425120918055331,1026,1450,0.413255360623782,5.9047960487322,NA,0.0333498395122807,11.5265970654136,2.06609943094265,0.0333498395122807
"4689",NA,"fiber","","fiber","SUB-4-9-500um_S2_A_23","Lower Harbor","SUB-4-9","SUB-4-9-S2",23,"gray","","Fiber",0.531,0.233,0.767,0.767,728.65,767,805.35,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,136000,168000,251000,0.000169,0.000212,0.000321,NA,NA,NA,0.000767,1.67e-05,1.67e-05,0.147557250286542,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114340538928442,0.015524284553699,38.1059016327874,0.00114340538928442
"4690",NA,"fiber","","fiber","SUB-4-10-500um_S2_A_52","Lower Harbor","SUB-4-10","SUB-4-10-S2",52,"blue","","Fiber",0.531,0.317,0.994,0.994,944.3,994,1043.7,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,176000,218000,325000,0.00022,0.000274,0.000416,NA,NA,NA,0.000994,1.67e-05,1.67e-05,0.129617918626145,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114388636232979,0.0155308148381362,38.0738633832465,0.00114388636232979
"4691",NA,"foam","","foam","SUB-3-3-250um_S1_C_80","Middle Newport Bay","SUB-3-3","SUB-3-3-S1",80,"white","","Non-Fiber",0.665,0.344,0,0.665,631.75,665,698.25,326.8,344,361.2,6.65,335.825,361.2,"","",2.55e-10,2.77e-10,3.37e-10,1372931.74,76823327,91097493.5,0.00035,0.0213,0.0307,NA,NA,NA,0.000665,0.000344,0.000335825,0.702138810979511,0.000425106459143748,1026,277,0.730019493177388,7.13776289957687,5,0.0242371583211073,8.37672565332712,6.90997546257975,-0.0242371583211073
"4692",NA,"fragment","","fragment","SUB-4-1-250um_S1_F_54","Lower Harbor","SUB-4-1","SUB-4-1-S1",54,"black","","Non-Fiber",0.942,0.399,0,0.942,894.9,942,989.1,379.05,399,418.95,9.42,204.21,399,"","",1.03e-09,1.08e-09,1.33e-09,3195375.58,76753962.2,165338995,0.00329,0.0829,0.22,NA,NA,NA,0.000942,0.000399,0.00020421,0.333092693257618,0.000424978475828033,1026,1080,0.0526315789473684,2.96985556927193,4.6,0.0065266650028315,2.2550342643443,6.86812884040984,0.0065266650028315
"4693",NA,"fiber","","fiber","SUB-4-1-250um_S1_C_9","Lower Harbor","SUB-4-1","SUB-4-1-S1",9,"black","","Fiber",0.529,0.485,1.394,1.394,1324.3,1394,1463.7,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,246000,305000,456000,0.000308,0.000385,0.000583,NA,NA,NA,0.001394,1.67e-05,1.67e-05,0.109452793097235,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114446966598901,0.0155387344894442,38.0350629415407,0.00114446966598901
"4694",NA,"film","","film","SUB-4-9-500um_S1_A_33","Lower Harbor","SUB-4-9","SUB-4-9-S1",33,"purple","","Non-Fiber",1.325,0.865,1.986,1.325,1258.75,1325,1391.25,821.75,865,908.25,1.325,66.9125,132.5,"","",1.02e-09,1.07e-09,1.43e-09,1370550.6,76690089.1,167427373,0.0014,0.0821,0.239,NA,NA,NA,0.001325,0.000865,6.69125e-05,0.0625016184761541,0.000424860556906356,1026,1070,0.0428849902534113,2.77311436661168,4.35,0.00211458890920162,0.730410911862929,53.2975902477748,0.00211458890920162
"4695",NA,"fiber","","fiber","SUB-4-1-250um_S1_B_18","Lower Harbor","SUB-4-1","SUB-4-1-S1",18,"blue","","Fiber",0.528,0.111,0.687,0.687,652.65,687,721.35,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,121000,150000,225000,0.000152,0.00019,0.000287,NA,NA,NA,0.000687,1.67e-05,1.67e-05,0.155912116476067,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114319162937248,0.015521382284976,38.1201534441429,0.00114319162937248
"4696","PE","fragment","poly(ethylene)","fragment","SUB-1-7-01-250-500um_S1_A_1","Basin I/III","SUB-1-7","SUB-1-7-S1",1,"blue","","Non-Fiber",1.039,0.379,0,1.039,987.05,1039,1090.95,360.05,379,397.95,10.39,194.695,379,"poly(ethylene)","poly(ethylene)",9.08e-10,1.01e-09,1.7e-09,3692474.59,76667191.8,164540406,0.00335,0.0774,0.28,NA,NA,NA,0.001039,0.000379,0.000194695,0.310261165577455,0.000424818269329283,1026,1010,0.0155945419103314,1.97915733753782,4.6,0.000956220490162663,0.330260108722033,94.7692535480789,-0.000956220490162663
"4697","PP","fragment","poly(propylene)","fragment","SUB-3-6-250um_S1_A_25","Middle Newport Bay","SUB-3-6","SUB-3-6-S1",25,"blue","","Non-Fiber",0.88,0.413,0,0.88,836,880,924,392.35,413,433.65,8.8,210.9,413,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,2886440.48,76649496,165486044,0.00288,0.0766,0.165,NA,NA,NA,0.00088,0.000413,0.0002109,0.349832551686773,0.000424785582268566,1026,1000,0.0253411306042884,2.32665161530286,4.6,0.00148110176499492,0.51150461434339,64.1850228390752,-0.00148110176499492
