Sample ID,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,% GRAVEL:,% SAND:,% MUD:,% V COARSE GRAVEL:,% COARSE GRAVEL:,% MEDIUM GRAVEL:,% FINE GRAVEL:,% V FINE GRAVEL:,% V COARSE SAND:,% COARSE SAND:,% MEDIUM SAND:,% FINE SAND:,% V FINE SAND:,% V COARSE SILT:,% COARSE SILT:,% MEDIUM SILT:,% FINE SILT:,% V FINE SILT:,% CLAY:
UNB-1-1-39-40,39,40,1,39.5,0.979620284,5.462137771,35.54164605,36.28104342,34.56202576,6.510562226,11.93070518,4.814345691,7.516318581,9.995489733,2.076188619,5.181144042,1.439577247,2.702782134,0,0.052861148,0.947138852,0,0,0,0,0,0,0,0.000577302,0.021387002,0.030896844,0.059802889,0.117813889,0.163794291,0.203950161,0.17484996,0.226927662
UNB-1-1-40-41,40,41,1,40.5,1.013028403,5.346905441,29.70882966,29.32674894,28.69580125,5.550713048,10.22738186,5.072964417,7.547080122,9.94710966,1.960808088,4.874145243,1.390946423,2.472673113,0,0.044607194,0.955392806,0,0,0,0,0,0,0,8.28428E-05,0.01620826,0.028316091,0.050409756,0.108546268,0.174361697,0.221722414,0.182273818,0.218078855
UNB-1-1-41-42,41,42,1,41.5,1.055906024,4.92562705,25.64101395,24.28342426,24.58510793,5.172334402,9.239171414,5.285402877,7.665476888,9.887302845,1.87068102,4.601899968,1.367678888,2.370815551,0,0.028736121,0.971263879,0,0,0,0,0,0,0,0,0.001874325,0.026861796,0.045700292,0.116111012,0.167832439,0.214677693,0.209981893,0.21696055
UNB-1-1-42-43,42,43,1,42.5,1.036073559,5.750784492,51.83051506,50.0259027,50.7944415,7.88066418,15.40420953,4.270054459,7.44202551,9.914657849,2.321904309,5.64460339,1.511319973,2.978317225,0,0.081892478,0.918107522,0,0,0,0,0,0,0,0.004136063,0.028247126,0.04950929,0.073937904,0.115541681,0.146704613,0.189415369,0.173523427,0.218984529
UNB-1-1-43-44,43,44,1,43.5,1.099365574,5.757001556,41.35341718,37.6157105,40.25405161,6.693805106,13.86173603,4.59584964,7.440466682,9.829113076,2.138693353,5.233263436,1.461808582,2.742826547,0,0.061786463,0.938213537,0,0,0,0,0,0,0,0,0.009641659,0.052144804,0.071164903,0.124858981,0.152280525,0.210043353,0.179526407,0.200339369
UNB-1-1-44-45,44,45,1,44.5,0.894871155,4.848505795,29.09728312,32.51561183,28.20241197,6.45315834,10.41800171,5.102971738,7.688244076,10.1260324,1.984340287,5.023060665,1.424166353,2.690005425,0,0.044053324,0.955946676,0,0,0,0,0,0,0,1.30324E-05,0.015796413,0.028243878,0.048811598,0.112991531,0.155132119,0.202484971,0.181372144,0.255154314
UNB-1-1-44-45,44,45,1,44.5,0.861755857,5.008971489,29.49424539,34.22575567,28.63248954,6.488978806,10.54028773,5.083422691,7.641269885,10.18043318,2.002672963,5.09701049,1.426459569,2.697991454,0,0.044381916,0.955618084,0,0,0,0,0,0,0,6.7814E-05,0.01481848,0.029495622,0.049930483,0.1106327,0.164013997,0.203093545,0.174184242,0.253763116
UNB-1-1-45-46,45,46,1,45.5,0.963736404,5.318619531,32.61984505,33.84726873,31.65610864,6.013070702,10.80964793,4.938106261,7.554732448,10.01907378,2.028930373,5.080967517,1.412832754,2.588101922,0,0.049235694,0.950764306,0,0,0,0,0,0,0,0.000345256,0.017452598,0.03143784,0.054706403,0.10980469,0.1669885,0.213872759,0.17734792,0.228044034
UNB-1-1-46-47,46,47,1,46.5,0.951320187,4.886610764,23.13278625,24.31650939,22.18146606,5.203569401,8.705604328,5.433917146,7.676950091,10.03778139,1.84724594,4.603864241,1.36406344,2.379501583,0,0.021881511,0.978118489,0,0,0,0,0,0,0,9.10181E-06,0.005768489,0.01610392,0.041837888,0.106404934,0.173496538,0.229813469,0.190295443,0.236270216
UNB-1-1-47-48,47,48,1,47.5,0.950335566,5.209678181,23.22238775,24.43598722,22.27205218,5.28515912,9.222117718,5.428339871,7.584590029,10.03927536,1.849419085,4.610935486,1.371928484,2.401946907,0,0.02097532,0.97902468,0,0,0,0,0,0,0,0.000542453,0.007999703,0.012433163,0.040587791,0.114764702,0.187622051,0.228365187,0.179003043,0.228681907
