Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),OS_Plastic_Not
NA,fiber,,fiber,UNB-1-30-35-250 um_A_16,Upper Newport Bay,UNB-1,UNB-1-30-35,16,black,,Fiber,2.334,0.44,0,2.334,2217.3,2334,2450.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,4.12E+05,5.11E+05,7.63E+05,5.49E-04,6.90E-04,1.05E-03,
NA,fiber,,fiber,UNB-1-30-35-250 um_A_23,Upper Newport Bay,UNB-1,UNB-1-30-35,23,black,,Fiber,0.705,0.199,0,0.705,669.75,705,740.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.25E+05,1.54E+05,2.30E+05,1.66E-04,2.08E-04,3.16E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_1,Upper Newport Bay,UNB-1,UNB-1-40-45,1,black,,Fiber,1.624,0.345,0,1.624,1542.8,1624,1705.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.87E+05,3.56E+05,5.31E+05,3.82E-04,4.80E-04,7.27E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_15,Upper Newport Bay,UNB-1,UNB-1-40-45,15,blue,,Fiber,2.021,0.789,0,2.021,1919.95,2021,2122.05,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,3.57E+05,4.43E+05,6.61E+05,4.75E-04,5.98E-04,9.05E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_19,Upper Newport Bay,UNB-1,UNB-1-40-45,19,black,,Fiber,0.938,0.141,0,0.938,891.1,938,984.9,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.66E+05,2.05E+05,3.07E+05,2.20E-04,2.77E-04,4.20E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_22,Upper Newport Bay,UNB-1,UNB-1-40-45,22,black,,Fiber,0.993,0.659,0,0.993,943.35,993,1042.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.75E+05,2.18E+05,3.25E+05,2.33E-04,2.94E-04,4.45E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_25,Upper Newport Bay,UNB-1,UNB-1-40-45,25,black,,Fiber,0.691,0.177,0,0.691,656.45,691,725.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.51E+05,2.26E+05,1.62E-04,2.04E-04,3.09E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_8,Upper Newport Bay,UNB-1,UNB-1-40-45,8,black,,Fiber,1.785,0.658,0,1.785,1695.75,1785,1874.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,3.15E+05,3.91E+05,5.83E+05,4.20E-04,5.28E-04,7.99E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_9,Upper Newport Bay,UNB-1,UNB-1-40-45,9,red,,Fiber,1.307,0.145,0,1.307,1241.65,1307,1372.35,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.31E+05,2.86E+05,4.27E+05,3.07E-04,3.86E-04,5.85E-04,
NA,fiber,,fiber,UNB-1-40-45-500um_A_2,Upper Newport Bay,UNB-1,UNB-1-40-45,2,blue,,Fiber,2.394,0.404,0,2.394,2274.3,2394,2513.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,4.23E+05,5.24E+05,7.82E+05,5.63E-04,7.08E-04,1.07E-03,
