"","Site","Sample","count","acrylonitrile butadiene styrene (abs)","cellulose derivatives (ether cellulose)","ethylene-vinyl acetate","poly(acrylamide/amid)s","poly(esters/ethers/diglycidylethers/terephthalates)s","poly(ethylene)","poly(propylene)","polyacrylonitriles (nitriles)","polycarbonates","polydienes (butadienes, isoprenes)","polyhaloolefins (vinylhalides)","polyhydroxy(meth)acrylates","polymethacrylates","polystyrenes (polyphenylethylenes, -methylstyrene)","polyurethanes (isocyanates)","polyvinylesters"
"118","Upper Bay Saltmarsh","UNB-2-00-05",3,0,0,0,0,1.94805194805195,0,0,0,0,0,0,0,0,0,0,0
"119","Upper Bay Saltmarsh","UNB-2-00-05",4,0,2.5974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Upper Bay Saltmarsh","UNB-2-00-05",5,0,0,0,3.24675324675325,0,0,0,0,0,0,0,0,0,0,0,0
"121","Upper Bay Saltmarsh","UNB-2-00-05",9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84415584415584,0,0
"122","Upper Bay Saltmarsh","UNB-2-00-05",12,0,0,0,0,0,7.79220779220779,0,0,0,0,0,0,0,0,0,0
"123","Upper Bay Saltmarsh","UNB-2-00-05",31,0,0,0,0,0,0,20.1298701298701,0,0,0,0,0,0,0,0,0
"124","Upper Bay Saltmarsh","UNB-3-00-05",1,0,0,0,0,0,0,0,0,0,0,0,0.649350649350649,0,0,0.649350649350649,0
"125","Upper Bay Saltmarsh","UNB-3-00-05",8,0,0,0,5.19480519480519,0,0,0,0,0,0,0,0,0,0,0,0
"126","Upper Bay Saltmarsh","UNB-3-00-05",12,0,0,0,0,0,7.79220779220779,0,0,0,0,0,0,0,0,0,0
"127","Upper Bay Saltmarsh","UNB-3-00-05",14,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0
"128","Upper Bay Saltmarsh","UNB-3-00-05",22,0,0,0,0,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0
