Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_25,blue,Blue,fragment,Non-Fiber,,0.801,0.298,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_26,black,Black,fiber,Fiber,,0.434,0.124,0.544,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_27,gray,Black,fiber,Fiber,,1.18,0.245,1.463,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_28,clear,Transparent,fragment,Non-Fiber,brittle,0.634,0.429,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_29,gray,Black,fiber,Fiber,,0.631,0.295,1.205,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_3,black,Black,fiber,Fiber,,1.193,0.432,2.36,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_30,white,White,foam,Non-Fiber,flat,0.582,0.487,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_31,white,White,foam,Non-Fiber,flat,0.998,0.468,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_32,gray,Black,fiber,Fiber,,1.092,0.161,1.367,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_33,orange,Yellow,fragment,Non-Fiber,,0.752,0.538,1.649,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_34,clear,Transparent,fragment,Non-Fiber,brittle,0.983,0.607,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_35,gray,Black,fiber,Fiber,,1.19,0.278,2.65,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_36,white,White,fragment,Non-Fiber,,0.616,0.401,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_37,blue,Blue,fiber,Fiber,,0.778,0.555,1.48,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_38,blue,Blue,fiber,Fiber,,1.318,0.415,2.063,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_39,gray,Black,fiber,Fiber,,1.426,0.303,1.731,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_4,white,White,foam,Non-Fiber,"flat, thin",0.773,0.397,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_40,gray,Black,fiber,Fiber,,1.455,0.483,2.529,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_41,blue,Blue,fiber,Fiber,,0.768,0.18,0.874,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_42,blue,Blue,fiber,Fiber,,0.827,0.422,1.328,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_43,purple,Blue,fiber,Fiber,,0.711,0.41,1.556,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_44,green,Green,fragment,Non-Fiber,,0.495,0.216,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_45,green,Green,fragment,Non-Fiber,,0.956,0.444,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_46,white,White,foam,Non-Fiber,flat,0.889,0.607,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_47,black,Black,fragment,Non-Fiber,,0.659,0.493,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_48,gray,Black,fragment,Non-Fiber,,0.801,0.465,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_49,green,Green,fragment,Non-Fiber,,0.627,0.334,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_5,clear,Transparent,fragment,Non-Fiber,brittle,0.944,0.351,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_50,clear,Transparent,fragment,Non-Fiber,,0.585,0.463,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_51,white,White,fragment,Non-Fiber,,0.692,0.234,0,,,,,,
