"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","OS_Plastic_Not","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"31",NA,"fiber","","fiber","UNB-1-05-10-250um_B_27","Upper Newport Bay","UNB-1","UNB-1-05-10",27,"gray","","Fiber",0.446,0.265,0,0.446,423.7,446,468.3,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,78800,97700,146000,"1.05E-04","1.32E-04","2.00E-04","",0.000446,1.67e-05,1.67e-05,0.193504382865972,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141780861121572,0.0192499217945549,34.3152087394493,0.00141780861121572
"32",NA,"fiber","","fiber","UNB-1-05-10-250um_B_29","Upper Newport Bay","UNB-1","UNB-1-05-10",29,"black","","Fiber",0.456,0.332,0,0.456,433.2,456,478.8,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,80600,99900,149000,"1.07E-04","1.35E-04","2.04E-04","",0.000456,1.67e-05,1.67e-05,0.191370862509275,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141787531447263,0.0192508274404007,34.3119801306712,0.00141787531447263
"33",NA,"fiber","","fiber","UNB-1-05-10-250um_B_52","Upper Newport Bay","UNB-1","UNB-1-05-10",52,"black","","Fiber",1.246,0.245,0,1.246,1183.7,1246,1308.3,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,220000,273000,407000,"2.93E-04","3.68E-04","5.58E-04","",0.001246,1.67e-05,1.67e-05,0.115770847995451,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142055073606278,0.0192871522701206,34.18285758067,0.00142055073606278
"34",NA,"fiber","","fiber","UNB-1-05-10-500um_A_21","Upper Newport Bay","UNB-1","UNB-1-05-10",21,"black","","Fiber",1.332,0.708,0,1.332,1265.4,1332,1398.6,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,235000,292000,435000,"3.13E-04","3.94E-04","5.96E-04","",0.001332,1.67e-05,1.67e-05,0.111971146004395,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142070623580274,0.0192892635267526,34.1753751969964,0.00142070623580274
"35",NA,"fiber","","fiber","UNB-1-05-10-500um_A_40","Upper Newport Bay","UNB-1","UNB-1-05-10",40,"red","","Fiber",0.68,0.156,0,0.68,646,680,714,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,120000,149000,222000,"1.60E-04","2.01E-04","3.04E-04","",0.00068,1.67e-05,1.67e-05,0.156712550644203,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141901782671446,0.0192663395984809,34.2567502737195,0.00141901782671446
"36",NA,"fiber","","fiber","UNB-1-05-10-500um_A_44","Upper Newport Bay","UNB-1","UNB-1-05-10",44,"blue","","Fiber",1.055,0.61,0,1.055,1002.25,1055,1107.75,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,186000,231000,345000,"2.48E-04","3.12E-04","4.72E-04","",0.001055,1.67e-05,1.67e-05,0.125814879431075,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.0014201518426859,0.0192817364006948,34.2020628938355,0.0014201518426859
"37",NA,"fiber","","fiber","UNB-1-05-10-500um_B_28","Upper Newport Bay","UNB-1","UNB-1-05-10",28,"black","","Fiber",0.922,0.468,0,0.922,875.9,922,968.1,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,163000,202000,301000,"2.17E-04","2.73E-04","4.13E-04","",0.000922,1.67e-05,1.67e-05,0.13458379644163,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141981673326746,0.019277186541111,34.2182097467615,0.00141981673326746
"38",NA,"fiber","","fiber","UNB-1-05-10-500um_B_43","Upper Newport Bay","UNB-1","UNB-1-05-10",43,"blue","","Fiber",1.031,0.366,0,1.031,979.45,1031,1082.55,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,182000,226000,337000,"2.42E-04","3.05E-04","4.62E-04","",0.001031,1.67e-05,1.67e-05,0.127270837780575,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142009539264527,0.0192809699651837,34.2047820720313,0.00142009539264527
"39",NA,"fiber","","fiber","UNB-1-10-15-250um_A_54","Upper Newport Bay","UNB-1","UNB-1-10-15",54,"gray","","Fiber",0.495,0.295,0,0.495,470.25,495,519.75,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,87500,108000,162000,"1.16E-04","1.46E-04","2.22E-04","",0.000495,1.67e-05,1.67e-05,0.1836773631599,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141811908308658,0.0192541371443463,34.3001849788331,0.00141811908308658
"40",NA,"fiber","","fiber","UNB-1-10-15-500um_C_18","Upper Newport Bay","UNB-1","UNB-1-10-15",18,"pink","","Fiber",1.324,0.425,0,1.324,1257.8,1324,1390.2,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,234000,290000,433000,"3.11E-04","3.92E-04","5.93E-04","",0.001324,1.67e-05,1.67e-05,0.112308917951156,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142069230453822,0.0192890743786897,34.1760454456134,0.00142069230453822
