,Site,Location,Sub,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
1751,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_26,green,Green,spike,Spike,NA,0.345,0.322,1.32,NA,NA,NA,NA,NA,NA
1752,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_27,blue,Blue,fiber,Fiber,NA,1.633,0.467,2.558,NA,NA,NA,NA,NA,NA
1753,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_28,red,Red,fiber,Fiber,NA,1.077,0.296,1.521,NA,NA,NA,NA,NA,NA
1754,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_29,black,NA,not plastic,NA,NA,0.331,0.262,0,NA,NA,NA,NA,NA,NA
1755,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_3,black,Black,fiber,Fiber,NA,0.444,0.176,0.667,NA,NA,NA,NA,NA,NA
1756,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_30,translucent,NA,not plastic,NA,NA,0.393,0.137,0.704,NA,NA,NA,NA,NA,NA
1757,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_31,black,NA,not plastic,NA,NA,0.294,0.216,0,NA,NA,NA,NA,NA,NA
1758,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_32,blue,Blue,fiber,Fiber,NA,1.034,0.684,1.971,NA,NA,NA,NA,NA,NA
1759,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_33,gray,NA,not plastic,NA,may be hair; very thin,1.194,0.242,1.47,NA,NA,NA,NA,NA,NA
1760,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_34,gray,Black,fiber,Fiber,thick,2.37,0.848,3.076,NA,NA,NA,NA,NA,NA
1761,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_35,blue,Blue,fiber,Fiber,NA,0.733,0.295,1.046,NA,NA,NA,NA,NA,NA
1762,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_36,translucent,Transparent,fiber,Fiber,NA,1.186,0.423,1.723,NA,NA,NA,NA,NA,NA
1763,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_37,black,NA,not plastic,NA,NA,0.165,0.116,0,NA,NA,NA,NA,NA,NA
1764,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_38,black,Black,fiber,Fiber,NA,1.207,0.423,1.569,NA,NA,NA,NA,NA,NA
1765,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_39,black,Black,fiber,Fiber,NA,0.779,0.348,1.191,NA,NA,NA,NA,NA,NA
1766,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_4,green,Green,spike,Spike,NA,0.329,0.303,0,NA,NA,NA,NA,NA,NA
1767,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_40,pink,Red,fiber,Fiber,NA,0.993,0.443,1.521,NA,NA,NA,NA,NA,NA
1768,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_41,gray,Black,fiber,Fiber,NA,1.149,0.356,1.469,NA,NA,NA,NA,NA,NA
1769,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_42,black,Black,fiber,Fiber,NA,1.015,0.266,1.395,NA,NA,NA,NA,NA,NA
